idx,seed,dim,vars,rho_max,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
0,72,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.46225110465917635,2.0879485848514676,1.7486808643777911,-1.0,0,0,52,44,0.21832825631832573,[58.5129369]
0,73,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.3379034194633733,2.1734731208329543,1.9744675666729348,-1.0,0,0,54,49,0.24635959015821238,[60.03407242]
0,74,7,xc1 dx a1 a2 d1 d2 Ir,25,1.6413144151522248,0.8167241756051624,-0.01,-0.02,0.2675923020398515,0.6521465946861019,1.6182424602189758,2.7508252688674455,-0.382936557854532,0,0,40,69,1.792573563819016e-05,[54.10602921]
0,75,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.26795044593752987,0.2,2.346910712896647,2.341715081425054,-1.0,0,0,59,59,0.4425369506262028,[65.74169539]
0,76,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.12915904166852585,-0.01,-0.02,0.20593654143934836,0.5018887168689911,1.8362426436257833,1.4746104073767554,-1.0,0,0,46,37,0.17651464844679943,[52.21863839]
0,77,7,xc1 dx a1 a2 d1 d2 Ir,25,1.3596445841097704,0.618755738437606,-0.01,-0.02,0.37551136341986757,0.9276947204013734,1.230125073974207,1.952473550335221,-0.37639464535516537,0,0,31,49,0.00011654444624622762,[49.54372829]
0,78,7,xc1 dx a1 a2 d1 d2 Ir,25,1.6732301870983783,0.4139819070693431,-0.01,-0.02,0.4268373083582963,0.8750727218564117,1.5146800390392332,1.8549675926612226,-0.5888321624439087,0,0,38,46,1.7456547986630056e-13,[56.00012447]
0,79,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.39420694736770584,-0.01,-0.02,0.2,1.0,2.384761564351151,1.3100413391911745,-1.0,0,0,60,33,9.817947097204264,[74.95360127]
0,80,7,xc1 dx a1 a2 d1 d2 Ir,25,1.676589222934298,0.3197677750010304,-0.01,-0.02,0.2,0.4659817113958549,1.7381573373845025,2.0655831903410795,-0.615436690372272,0,0,43,52,4.276585859465644e-11,[56.00262324]
0,81,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.6795425519296482,-0.01,-0.02,0.2,1.0,2.669042274614448,1.3188175134189468,-1.0,0,0,67,33,46.43459586181157,[84.10261888]
0,82,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2320235079346001,0.2,2.6239745196640376,2.5803349788037444,-1.0,0,0,66,65,0.7277524629215345,[71.91009981]
0,83,7,xc1 dx a1 a2 d1 d2 Ir,25,1.427757526111263,0.4955252718531486,-0.01,-0.02,0.3247985805101563,0.2,1.098322644116849,2.299585852208933,-0.3239234488221904,0,0,27,57,1.5476205884363693e-11,[55.99861867]
0,84,7,xc1 dx a1 a2 d1 d2 Ir,25,2.0,0.1,-0.01,-0.02,0.2,1.0,2.9869002798407656,1.637036723391878,-1.0,0,0,75,41,656.2313384987552,[21.10859202]
0,85,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.2,1.3841534588116597,1.9224422838890187,-0.36470398325967174,0,0,35,48,0.31505692217081777,[54.35556313]
0,86,7,xc1 dx a1 a2 d1 d2 Ir,25,1.4238785943347796,0.1,-0.01,-0.02,0.46262322504916026,0.5930650482010256,1.0240362997153523,1.139360125477714,-0.7797036182114532,0,0,26,28,7.350766925056609e-12,[56.00102196]
0,87,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.3755819672056981,0.2,1.5617229007801245,1.6708658135638892,-1.0,0,0,39,42,0.061816624759293934,[50.67096834]
0,88,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.5763839897227927,0.2,2.05334375453652,2.3934534044238047,-0.9276566131788028,0,0,51,60,0.8276143940764185,[70.19312934]
