run,dim,vars,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
77,5,dx a1 a2 ex1 ex2,-1,0.1,-0.01,-0.02,0.2422626317726923,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.00022250067569963049,[33.99534268]
78,5,dx a1 a2 ex1 Ir,-1,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.6551736114479594,0.9,0,1,1,0.00012162780721162065,[34.89091245]
79,5,dx a1 a2 ex2 Ir,-1,0.5297679407253536,-0.01,-0.02,0.3992430602745688,0.20000079415488117,2.0,2.0,-0.8600925098755929,0,-0.49694052964838215,8,8,9.424419351641767e-05,[50.6238864]
80,5,dx a1 d1 d2 ex1,-1,0.1,-0.01,-0.02,0.24226243499174244,0.2,2.0,2.0,-1.0,0.9,0,1,1,0.00022250067561948672,[33.99527032]
81,5,dx a1 d1 d2 ex2,-1,0.5360304351619793,-0.01,-0.02,0.5980596786003022,0.2,2.0,2.0,-1.0,0,-0.44628063306793925,8,8,0.00014591534151357205,[47.46925995]
82,5,dx a1 d1 d2 Ir,-1,0.1,-0.01,-0.02,0.24317421285227536,0.2,2.0,2.0,-1.0,0,0,8,8,0.12193802422235404,[22.00883994]
83,5,dx a1 d1 ex1 ex2,-1,0.1,-0.01,-0.02,0.24226210640732856,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.00022250067581278728,[33.99514948]
84,5,dx a1 d1 ex1 Ir,-1,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.655058481634821,0.9,0,1,1,0.00012162827490279635,[34.89690878]
85,5,dx a1 d1 ex2 Ir,-1,0.4919067579570873,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.7249415826973735,0,-0.5229111222650835,8,8,7.605459742444435e-05,[51.41986973]
86,5,dx a1 d2 ex1 ex2,-1,0.1,-0.01,-0.02,0.24226210640732856,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.00022250067581278728,[33.99514948]
87,5,dx a1 d2 ex1 Ir,-1,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.655058481634821,0.9,0,1,1,0.00012162827490279635,[34.89690878]
88,5,dx a1 d2 ex2 Ir,-1,0.4919067579570873,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.7249415826973735,0,-0.5229111222650835,8,8,7.605459742444435e-05,[51.41986973]
89,5,dx a1 ex1 ex2 Ir,-1,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.6550394916778488,0.9,-0.9,1,1,0.00012162842007445652,[34.89789739]
90,5,dx a2 d1 d2 ex1,-1,0.1,-0.01,-0.02,0.2,0.22464851335679997,2.0,2.0,-1.0,0.9,0,1,1,0.0002807001915176728,[58.90773393]
91,5,dx a2 d1 d2 ex2,-1,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0,-0.028018847739067026,8,8,0.18500929342311884,[11.94457077]
92,5,dx a2 d1 d2 Ir,-1,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.9669726407294624,0,0,8,8,0.14266200517150252,[23.87308018]
93,5,dx a2 d1 ex1 ex2,-1,0.1,-0.01,-0.02,0.2,0.22464956521703616,2.0,2.0,-1.0,0.9,-0.9,1,1,0.0002807001896999071,[58.90747641]
94,5,dx a2 d1 ex1 Ir,-1,0.12668604684865686,-0.01,-0.02,0.2,0.30268835469550665,2.0,2.0,-0.25930063963413763,0.9,0,1,1,0.0001838086835322986,[34.4551839]
95,5,dx a2 d1 ex2 Ir,-1,0.48927311991735106,-0.01,-0.02,0.2,0.20160171222168574,2.0,2.0,-0.7250312581008215,0,-0.5216953393975423,8,8,7.57690827789184e-05,[51.43214689]
96,5,dx a2 d2 ex1 ex2,-1,0.1,-0.01,-0.02,0.2,0.22464956521703616,2.0,2.0,-1.0,0.9,-0.9,1,1,0.0002807001896999071,[58.90747641]
97,5,dx a2 d2 ex1 Ir,-1,0.12668604684865686,-0.01,-0.02,0.2,0.30268835469550665,2.0,2.0,-0.25930063963413763,0.9,0,1,1,0.0001838086835322986,[34.4551839]
98,5,dx a2 d2 ex2 Ir,-1,0.48927311991735106,-0.01,-0.02,0.2,0.20160171222168574,2.0,2.0,-0.7250312581008215,0,-0.5216953393975423,8,8,7.57690827789184e-05,[51.43214689]
99,5,dx a2 ex1 ex2 Ir,-1,0.1269661366343757,-0.01,-0.02,0.2,0.3103736276134909,2.0,2.0,-0.24767890140988388,0.9,-0.9,1,1,0.00018666980290339507,[34.27139332]
100,5,dx d1 d2 ex1 ex2,-1,0.10380789855043376,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.0059984569231084335,[72.94461481]
101,5,dx d1 d2 ex1 Ir,-1,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.6551198139242354,0.9,0,1,1,0.00012162793755498563,[34.89371497]
102,5,dx d1 d2 ex2 Ir,-1,0.4847214599084369,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.7268564666322563,0,-0.5176033048299441,8,8,7.542515313633105e-05,[51.44693011]
103,5,dx d1 ex1 ex2 Ir,-1,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.655115250118676,0.9,-0.9,1,1,0.0001216279557359044,[34.89395267]
104,5,dx d2 ex1 ex2 Ir,-1,0.1,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.655115250118676,0.9,-0.9,1,1,0.0001216279557359044,[34.89395267]
105,5,a1 a2 d1 d2 ex1,-1,1.0,-0.01,-0.02,0.3100867344685062,0.2,2.0,2.0,-1.0,0.9,0,1,1,0.006887703825789855,[24.31740541]
106,5,a1 a2 d1 d2 ex2,-1,1.0,-0.01,-0.02,0.747608673586807,0.20000179486174768,2.0,2.0,-1.0,0,-0.6945587945832392,8,8,8.261361154364944e-05,[51.13620176]
107,5,a1 a2 d1 d2 Ir,-1,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.6890451204603504,0,0,8,8,11.580165815984428,[37.63790933]
108,5,a1 a2 d1 ex1 ex2,-1,1.0,-0.01,-0.02,0.31009010428461503,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.006887703814915946,[24.31772962]
109,5,a1 a2 d1 ex1 Ir,-1,1.0,-0.01,-0.02,0.2,0.2732451661203627,2.0,2.0,-0.10305997455245136,0.9,0,1,1,0.000949978640226693,[34.24565884]
110,5,a1 a2 d1 ex2 Ir,-1,1.0,-0.01,-0.02,0.4394981810764846,0.20000030887348147,2.0,2.0,-0.829371585609256,0,-0.7535177280864492,8,8,7.847922115036875e-05,[51.31463528]
111,5,a1 a2 d2 ex1 ex2,-1,1.0,-0.01,-0.02,0.31009010428461503,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.006887703814915946,[24.31772962]
112,5,a1 a2 d2 ex1 Ir,-1,1.0,-0.01,-0.02,0.2,0.2732451661203627,2.0,2.0,-0.10305997455245136,0.9,0,1,1,0.000949978640226693,[34.24565884]
113,5,a1 a2 d2 ex2 Ir,-1,1.0,-0.01,-0.02,0.4394981810764846,0.20000030887348147,2.0,2.0,-0.829371585609256,0,-0.7535177280864492,8,8,7.847922115036875e-05,[51.31463528]
114,5,a1 a2 ex1 ex2 Ir,-1,1.0,-0.01,-0.02,0.2,0.27771595046219694,2.0,2.0,-0.1,0.9,-0.9,1,1,0.000949707382106193,[34.24825109]
115,5,a1 d1 d2 ex1 ex2,-1,1.0,-0.01,-0.02,0.31009199828182077,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.006887703816931528,[24.31791184]
116,5,a1 d1 d2 ex1 Ir,-1,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.1848011414293467,0.9,0,1,1,0.0009537830162542943,[34.28052193]
117,5,a1 d1 d2 ex2 Ir,-1,1.0,-0.01,-0.02,0.43467310972741213,0.2,2.0,2.0,-0.826503191647813,0,-0.7543749093763745,8,8,7.860790813330021e-05,[51.30910076]
118,5,a1 d1 ex1 ex2 Ir,-1,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.18471660320977046,0.9,-0.9,1,1,0.0009537827772462891,[34.28502805]
119,5,a1 d2 ex1 ex2 Ir,-1,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.18471660320977046,0.9,-0.9,1,1,0.0009537827772462891,[34.28502805]
120,5,a2 d1 d2 ex1 ex2,-1,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.018924099568987978,[12.50654316]
121,5,a2 d1 d2 ex1 Ir,-1,1.0,-0.01,-0.02,0.2,0.27579703956782464,2.0,2.0,-0.10129042916908032,0.9,0,1,1,0.0009498238581403996,[34.24759183]
122,5,a2 d1 d2 ex2 Ir,-1,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.6835160762157905,0,-0.7944443612870404,8,8,9.0874051300054e-05,[50.77344272]
123,5,a2 d1 ex1 ex2 Ir,-1,1.0,-0.01,-0.02,0.2,0.27771405131721916,2.0,2.0,-0.1,0.9,-0.9,1,1,0.000949707381837414,[34.24837522]
124,5,a2 d2 ex1 ex2 Ir,-1,1.0,-0.01,-0.02,0.2,0.27771405131721916,2.0,2.0,-0.1,0.9,-0.9,1,1,0.000949707381837414,[34.24837522]
125,5,d1 d2 ex1 ex2 Ir,-1,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.184602770423642,0.9,-0.9,1,1,0.0009537831515521605,[34.29109653]
